,id,Statement,Image,Web,Category,Date,Label,clean,clean_joined
28831,27766,Sisodia steps in after 3 Pak Hindu refugee children denied admission in Delhi govt school,https://static.theprint.in/wp-content/uploads/2019/09/WhatsApp-Image-2019-09-28-at-5.08.53-PM-324x235.jpeg,THEPRINT,GOVERNMENT,Sep-19,TRUE,"['sisodia', 'steps', 'pak', 'hindu', 'refugee', 'children', 'denied', 'admission', 'delhi', 'govt', 'school']",sisodia steps pak hindu refugee children denied admission delhi govt school
56146,53707,FAKE: Video of IT raid on T&T law firm made viral as money found at Congress Minister DK Shivkumarâs home,https://englishtribuneimages.blob.core.windows.net/gallary-content/2021/2/2021_2$smallthumbimg_1480927572.jpg,AUGMENT,VIOLENCE,,Fake,"['fake', 'video', 'raid', 'law', 'firm', 'viral', 'money', 'congress', 'minister', 'shivkumarâ', 'home']",fake video raid law firm viral money congress minister shivkumarâ home
14139,38589,Fact Check: Did a US city deploy child soldiers to quell protests over George Floyd's death?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202006/Child-170x96.png?o7jn3Kg2XCrwSXlkdVQvxRwvrmsHOCRJ,INDIATODAY,MISLEADING,20-Jun,Fake,"['fact', 'check', 'city', 'deploy', 'child', 'soldiers', 'quell', 'protests', 'george', 'floyd', 'death']",fact check city deploy child soldiers quell protests george floyd death
23393,51309,"No, Indian PM Modi did not receive a jumper from FIFAs president implying he was a cheat.Subramanian Swamy wants you to believe Nirav Modi paid Congress Rs 98 cr, but hes wrong",https://static.theprint.in/wp-content/uploads/2018/06/Ram-Madhav-324x235.jpg,AUGMENT,COVID-19,,Fake,"['indian', 'modi', 'receive', 'jumper', 'fifa', 'president', 'implying', 'cheat', 'subramanian', 'swamy', 'wants', 'believe', 'nirav', 'modi', 'paid', 'congress', 'wrong']",indian modi receive jumper fifa president implying cheat subramanian swamy wants believe nirav modi paid congress wrong
17883,2903,Tamil Nadu: 2 lawyers use forged documents to secure bail for clients; arrested,"https://imgk.timesnownews.com/story/iStock-1056779176_1_2.jpg?tr=w-100,h-75",TIMESNOW,TERROR,Oct-20,TRUE,"['tamil', 'nadu', 'lawyers', 'forged', 'documents', 'secure', 'bail', 'clients', 'arrested']",tamil nadu lawyers forged documents secure bail clients arrested
5644,26084,The money laundering cases against businessman & former Trinamool MP KD Singh arrested by ED,https://static.theprint.in/wp-content/uploads/2021/01/KDsingh-324x235.jpg,THEPRINT,VIOLENCE,Jan-21,TRUE,"['money', 'laundering', 'cases', 'businessman', 'trinamool', 'singh', 'arrested']",money laundering cases businessman trinamool singh arrested
9359,45624,Old video shared as Akhilesh Yadav arrested for protesting govtÕs move on Article 370, https://www.thestatesman.com/wp-content/uploads/2019/10/Capture-5.jpg,AUGMENT,POLITICS,,Fake,"['old', 'video', 'shared', 'akhilesh', 'yadav', 'arrested', 'protesting', 'govtõs', 'article']",old video shared akhilesh yadav arrested protesting govtõs article
28412,40942,Sambit Patra shares fake video of ex-Congress MLA & asks followers to fact-check it,https://teekhimirchi.in/wp-content/uploads/2015/08/Big-Fish-Eat-Little-Fish-326x245.jpg,TEEKHIMIRCHI,GOVERNMENT,15-Feb,Fake,"['sambit', 'patra', 'shares', 'fake', 'video', 'congress', 'mla', 'asks', 'followers', 'fact', 'check']",sambit patra shares fake video congress mla asks followers fact check
39056,55781,Fact Check: Wrong girl goes viral on social media as Hathras victim. Fact Check: Wrong girl goes viral on social media as Hathras victim?,https://www.thestatesman.com/wp-content/uploads/2019/07/sc.jpg,AUGMENT,MISLEADING,,Fake,"['fact', 'check', 'wrong', 'girl', 'goes', 'viral', 'social', 'media', 'hathras', 'victim', 'fact', 'check', 'wrong', 'girl', 'goes', 'viral', 'social', 'media', 'hathras', 'victim']",fact check wrong girl goes viral social media hathras victim fact check wrong girl goes viral social media hathras victim
55397,36023,Congress to boycott J&K block polls over party leadersï¿½ detention,https://static.theprint.in/wp-content/uploads/2019/09/Army-in-Kashmir-e1570256324422-324x235.jpg,THEPRINT,VIOLENCE,Sep-19,TRUE,"['congress', 'boycott', 'block', 'polls', 'party', 'leadersï', 'detention']",congress boycott block polls party leadersï detention
